id;name;ca_connector_type;ca_url;polling_offset;default_ca;active;selector;jhi_interval;plain_secret
1;GB;ADCS;Table client-driven;47916;false;false;Chair redundant;WEEK;Computers
2;Usability dedicated;DIRECTORY;Human Borders overriding;30123;false;false;Summit;MONTH;Auto Loan Account Assurance
3;Underpass;INTERNAL;overriding;3805;true;true;Savings Account Palladium;MONTH;TCP Specialist Total
4;FTP Consultant Awesome Soft Car;DIRECTORY;feed e-tailers eyeballs;78708;true;true;clicks-and-mortar networks;HOUR;web-readiness program
5;Principal;CMP;withdrawal Plastic;25668;false;false;monitor;MONTH;holistic Proactive
6;Cordoba Oro Unbranded Barbados Dollar;INTERNAL;Sports Small Rubber Table Borders;28013;false;false;Rustic Wooden Chicken;DAY;Liaison
7;Gloves;INTERNAL;Palladium;62498;true;true;Books Assistant;HOUR;parsing feed exploit
8;Cloned;CMP;indexing deposit;47912;false;false;virtual XML Rustic Soft Fish;HOUR;generating GB
9;user-centric Investment Account;INTERNAL;Jewelery asynchronous;83008;true;true;Factors Bedfordshire Cotton;WEEK;systematic Developer
10;invoice alarm Automotive;ADCS;Sleek Metal Chips;72880;false;false;Data XSS Berkshire;MINUTE;Unbranded Soft Towels Facilitator
