id;order_id;status;expires;not_before;not_after;error;finalize_url;certificate_url
1;22664;READY;2020-01-10T00:33:09;2020-01-10T02:36:48;2020-01-09T21:18:37;Oklahoma toolset;primary Baby grow;Bedfordshire Throughway
2;95351;INVALID;2020-01-09T17:51:55;2020-01-10T13:17:44;2020-01-10T04:04:30;relationships;AI brand;Principal Mississippi Salad
3;51954;INVALID;2020-01-10T09:12:37;2020-01-09T20:40:18;2020-01-09T20:08:23;1080p metrics Concrete;Minnesota;optical Gorgeous Fresh Chicken
4;59531;READY;2020-01-09T21:50:12;2020-01-10T09:32:03;2020-01-09T18:30:25;Refined models Luxembourg;Afghani Cheese;Persistent hardware
5;38224;PENDING;2020-01-09T19:54:26;2020-01-09T23:08:58;2020-01-10T08:43:56;Tactics Home Loan Account;Chair;Rustic Metal Gloves
6;27437;PENDING;2020-01-10T03:41:00;2020-01-10T14:52:11;2020-01-10T16:48:50;magenta;white;Checking Account logistical matrix
7;756;READY;2020-01-09T19:16:20;2020-01-10T12:53:45;2020-01-10T02:58:50;encompassing capacitor Grocery;Accountability;Implementation Intelligent Granite Towels Isle
8;91661;VALID;2020-01-09T21:11:00;2020-01-09T18:30:39;2020-01-10T14:13:41;Bedfordshire red;engage Centralized;Cotton content-based
9;22809;PROCESSING;2020-01-10T03:07:30;2020-01-09T20:55:15;2020-01-09T22:56:40;granular Moroccan Dirham;Kip digital;Multi-tiered online
10;7438;READY;2020-01-10T13:15:19;2020-01-10T03:05:34;2020-01-10T06:06:33;XML;Oregon;web services
