id;name;type;url_part;description;approval_required
1;compress;SCEP;Facilitator;Turkey Guyana Dollar;false
2;heuristic SQL;INTERNAL;Cotton;Tasty;false
3;Knoll Berkshire;INTERNAL;methodology;Guarani e-commerce Internal;false
4;New Zealand Dollar Intranet;WEB;hack mint green;archive card;false
5;Granite;INTERNAL;index generate;indexing;false
6;microchip quantifying Avon;ACME;well-modulated;Plastic relationships Focused;false
7;Avon Configurable;SCEP;bus;Bulgaria;true
8;Regional;INTERNAL;olive cross-media Automotive;teal quantify;true
9;Berkshire;ACME;input engineer;24/365 red;true
10;microchip;SCEP;Investment Account Kids;program Mobility European Monetary Unit (E.M.U.-6);true
