id;acme_identifier_id;type;value
1;76736;matrix Dynamic bandwidth;Borders deposit
2;65221;Morocco support;Czech Koruna Dynamic SAS
3;25784;Views;1080p Human Licensed
4;37139;sensor;Product overriding Soft
5;36170;Metal;User-centric deposit
6;67798;Cross-platform solid state compress;Concrete Concrete Outdoors
7;16673;disintermediate Representative;Lebanese Pound invoice Avon
8;38745;United Kingdom actuating invoice;driver
9;40029;Specialist Dynamic;Checking Account US Dollar program
10;13017;Borders;back-end National Forward
