id;authorization_id;type;value
1;37026;Networked;supply-chains one-to-one
2;89403;encompassing collaborative;New Israeli Sheqel Costa Rican Colon Health
3;34280;capacitor invoice;North Carolina
4;56701;Corporate world-class Passage;Indian Rupee Ngultrum
5;51526;Direct sensor;payment Response
6;22000;Buckinghamshire;mindshare Avon
7;25562;Tasty Ergonomic;Sausages Bike
8;17487;EXE;Triple-buffered Home Networked
9;37501;auxiliary Books Integration;Corporate
10;97434;Generic Rubber Chair;Awesome Concrete Table IB optical
