id;tbs_digest;subject;sans;issuer;root;type;description;fingerprint;serial;valid_from;valid_to;key_algorithm;key_length;curve_name;hashing_algorithm;padding_algorithm;signing_algorithm;creation_execution_id;content_added_at;revoked_since;revocation_reason;revoked;revocation_execution_id;administration_comment;end_entity;selfsigned;trusted;active;content
1;Chicken Towels Checking Account;connect;salmon;synergies implement actuating;Direct connecting Engineer;Investor 1080p bypassing;Handmade Cotton Salad;ROI primary;Kansas Forge;2020-01-10T13:17:29;2020-01-10T11:25:09;vertical Paraguay killer;68882;program Shoes;deposit compressing Forward;Handmade Metal Bacon Architect;Automotive mission-critical;interfaces mobile digital;2020-01-10T06:32:50;2020-01-10T01:39:39;Incredible;false;Awesome Delaware B2C;../fake-data/blob/hipster.txt;false;false;true;true;../fake-data/blob/hipster.txt
2;Ergonomic;Zimbabwe Dollar Maine Sausages;IB stable;Cloned Sleek internet solution;Small Frozen Hat Planner;Awesome Metal Chair GB;grey European Unit of Account 9(E.U.A.-9) Borders;Usability multi-state;Gorgeous Wooden Pizza Cayman Islands Dollar Barbados;2020-01-10T12:29:03;2020-01-10T07:37:26;Coves Walk solutions;68222;cyan;Hong Kong Dollar payment archive;quantify;Plain;deposit Intuitive Cook Islands;2020-01-09T17:51:31;2020-01-10T15:00:42;open architecture;true;Liaison;../fake-data/blob/hipster.txt;true;false;false;true;../fake-data/blob/hipster.txt
3;back-end;Accountability enhance;Electronics payment;Direct Planner;database;SCSI invoice;input Land compelling;synthesizing;Wooden Interactions input;2020-01-09T18:13:33;2020-01-10T15:55:04;Small strategic protocol;92193;Rapids card Chicken;Customer overriding;transmitting Administrator;Soft transmitting Arkansas;Gorgeous;2020-01-10T14:19:33;2020-01-09T21:54:55;card;true;Kids;../fake-data/blob/hipster.txt;false;false;true;true;../fake-data/blob/hipster.txt
4;Savings Account Handmade Soft Sausages open system;Macao Paradigm circuit;enterprise Incredible Wooden Shoes interface;real-time back up Associate;invoice;rich Loop;sensor;transmit;index;2020-01-10T15:26:57;2020-01-10T08:48:14;Botswana;5324;engage purple invoice;Arkansas integrated;Home Diverse;Product Division evolve;optimizing;2020-01-09T21:13:26;2020-01-10T09:03:40;Credit Card Account streamline;false;Games dynamic;../fake-data/blob/hipster.txt;true;false;true;false;../fake-data/blob/hipster.txt
5;compress Shoes Reactive;vertical Rustic Plastic Computer;Shirt Home Loan Account;payment gold;portals purple envisioneer;function;Assistant Incredible disintermediate;invoice;online Ball Concrete;2020-01-09T21:18:08;2020-01-10T02:09:51;ADP cohesive;90798;payment incubate;web-readiness bus;Quality bricks-and-clicks;transmitter sensor Generic;invoice Incredible;2020-01-09T18:14:57;2020-01-09T17:15:26;haptic;false;Accountability;../fake-data/blob/hipster.txt;false;true;true;false;../fake-data/blob/hipster.txt
6;parse Legacy Future;Drive;Communications programming back-end;bricks-and-clicks Georgia;national system Customer;Intelligent Rubber Fish;XSS Seychelles 24/365;Pizza Investment Account generating;Polarised Electronics;2020-01-09T21:14:41;2020-01-10T05:28:40;Customer;49765;calculating;Auto Loan Account;Connecticut;Organic;transmit violet;2020-01-10T01:21:07;2020-01-09T23:47:54;Cotton Checking Account;true;Naira;../fake-data/blob/hipster.txt;false;true;false;true;../fake-data/blob/hipster.txt
7;Mouse Handmade override;optical redundant;Supervisor ROI;transmitting;Mobility Small synergy;Brand seamless;Ball channels Berkshire;approach Pants;Cambridgeshire copying COM;2020-01-09T23:40:49;2020-01-10T08:01:12;cross-platform;98471;backing up Gorgeous;PNG Fantastic Steel Shirt multi-state;Lempira Functionality;Hat;Gorgeous Intranet;2020-01-10T01:56:17;2020-01-10T02:13:04;asynchronous Corporate;false;Colombia 24 hour reboot;../fake-data/blob/hipster.txt;false;false;true;false;../fake-data/blob/hipster.txt
8;South Dakota schemas SDD;Papua New Guinea pixel;convergence Automotive;fuchsia;California Gorgeous Fresh Keyboard;Fresh Home Loan Account portal;Digitized bricks-and-clicks;Cheese Salad;mission-critical Cambridgeshire;2020-01-10T16:10:12;2020-01-10T05:45:06;Green Florida Cape Verde;4190;Buckinghamshire;Chips Awesome Steel Table;brand mint green;South Carolina HTTP;Harbor Mobility;2020-01-09T19:05:37;2020-01-09T20:33:24;Synchronised workforce PNG;true;application;../fake-data/blob/hipster.txt;false;false;true;false;../fake-data/blob/hipster.txt
9;HDD Rustic Fresh Towels indigo;transmit Hat Cotton;Spurs;Visionary bluetooth Incredible;wireless;partnerships Mountain Sleek Wooden Chicken;feed;Steel schemas Burundi;North Dakota zero administration;2020-01-10T07:21:55;2020-01-10T09:51:53;bus;77765;Intranet;intuitive;transition models streamline;24/7 Global cyan;Granite Awesome Soft Towels Pre-emptive;2020-01-09T17:49:38;2020-01-09T22:36:07;innovate;false;Credit Card Account Tennessee;../fake-data/blob/hipster.txt;true;false;false;true;../fake-data/blob/hipster.txt
10;connecting;user-centric multi-tasking implement;Libyan Arab Jamahiriya Applications Metal;Avon e-tailers Bedfordshire;schemas;Integrated 1080p protocol;Data Berkshire;Handcrafted Tasty Concrete Keyboard;one-to-one;2020-01-10T10:49:41;2020-01-10T08:23:51;Officer;28500;Steel redundant;parsing;embrace;calculate Orchard invoice;Profound Checking Account collaborative;2020-01-10T05:18:55;2020-01-10T15:47:41;Montana Director driver;false;Granite;../fake-data/blob/hipster.txt;false;true;false;true;../fake-data/blob/hipster.txt
