id;attribute_id;name;value
1;37454;Directives application Home Loan Account;Dam
2;9997;Trace;Savings Account alarm
3;2058;Producer;Implementation Electronics Officer
4;61748;Home Loan Account;web-readiness
5;29122;Investment Account Steel;Coordinator
6;23277;Licensed Savings Account;Cambridgeshire Mississippi
7;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music
8;23089;Monitored Bahamian Dollar Investment Account;Games Regional Digitized
9;66252;hardware Costa Rica Mayotte;Industrial
10;84228;Views e-enable Communications;National Awesome sky blue
