id;challenge_id;type;value;token;validated;status
1;21829;Avon end-to-end;Automotive;FTP Bike;2020-01-10T11:55:55;DEACTIVATED
2;34002;black;Handcrafted Metal Mouse;interactive Small Fresh Mouse Plastic;2020-01-10T10:29:53;VALID
3;73104;Dynamic Berkshire Refined;compressing connecting website;markets;2020-01-10T11:47:39;PENDING
4;39843;convergence Regional magenta;Licensed Wooden Gloves system Outdoors;Sao Tome and Principe Tunisia matrix;2020-01-10T13:11:42;PENDING
5;80938;client-driven Beauty;invoice Rubber;virtual Product;2020-01-10T07:58:22;REVOKED
6;12482;Optimization;Wooden;SQL EXE;2020-01-10T08:35:52;PENDING
7;64975;Games;Checking Account Balanced;International orchid;2020-01-09T22:57:03;REVOKED
8;94935;Mississippi transmitting Granite;Strategist;Mountain Handmade Soft Sausages Tools;2020-01-10T02:33:30;PENDING
9;47333;seize;Utah;generating motivating;2020-01-10T04:03:50;VALID
10;34588;Moroccan Dirham SCSI Kids;Kids Computers;Cotton Shirt Generic;2020-01-09T20:43:26;VALID
